16	10	100
40	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	75	-1	0&63	
65	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	78	-1	-1	60&64	
-1	29	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	80	-1	-1	63	
-1	-1	29	86	-1	-1	-1	-1	-1	-1	-1	-1	58	-1	95	67	
-1	-1	-1	30	59	-1	-1	-1	-1	-1	-1	0	-1	3	-1	66	
-1	-1	-1	-1	83	65	-1	-1	-1	-1	-1	92	-1	-1	2	43	
-1	-1	-1	-1	-1	5	0	-1	-1	-1	-1	37	-1	-1	-1	21&41	
-1	-1	-1	-1	-1	-1	51	74	-1	-1	1	-1	-1	-1	-1	38&19	
-1	-1	-1	-1	-1	-1	-1	48	29	-1	15	-1	-1	84	-1	57	
-1	-1	-1	-1	-1	-1	-1	-1	25	88	97	-1	-1	-1	22	92	

